Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
06446,="11:50:50.925",0x1162248,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06447,="11:50:50.955",0x1162340,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06448,="11:50:50.985",0x116243C,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06449,="11:50:50.985",0x1162450,ch1,Receive,0x1081C0D1,Data,Extended,0x08,x| FF 00 FF 00 FF FF FF FF 
06450,="11:50:50.985",0x1162456,ch1,Receive,0x1082C0D1,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
06451,="11:50:50.985",0x116245C,ch1,Receive,0x107BFFD1,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
06452,="11:50:51.015",0x1162533,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06453,="11:50:51.045",0x116262F,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06454,="11:50:51.076",0x1162727,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06455,="11:50:51.076",0x1162823,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06456,="11:50:51.105",0x116291A,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06457,="11:50:51.135",0x1162A16,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06458,="11:50:51.166",0x1162B0E,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06459,="11:50:51.195",0x1162C09,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06460,="11:50:51.225",0x1162D01,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06461,="11:50:51.225",0x1162DFD,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06462,="11:50:51.256",0x1162EF4,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06463,="11:50:51.285",0x1162FF0,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06464,="11:50:51.315",0x11630E9,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06465,="11:50:51.346",0x11631E2,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06466,="11:50:51.346",0x11632DB,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06467,="11:50:51.376",0x11633D7,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06468,="11:50:51.406",0x11634CE,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06469,="11:50:51.435",0x11635CA,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06470,="11:50:51.465",0x11636C2,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
06471,="11:50:51.495",0x11637BC,ch1,Receive,0x1073C0D1,Data,Extended,0x08,x| 00 08 09 00 00 00 00 00 
06472,="11:50:51.495",0x11637C2,ch1,Receive,0x1075C0D1,Data,Extended,0x08,x| 00 00 59 00 7D 45 04 00 
06473,="11:50:51.495",0x11637C8,ch1,Receive,0x1080C0D1,Data,Extended,0x08,x| FF FF FF FF 00 FF 00 01 
06474,="11:50:51.495",0x11637CD,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06475,="11:50:51.495",0x11638B5,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
